Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
08/29/2021,35,WI,0,6454213,8973,0,3429080,4488,Admin,0,8973,0,3157522,3900
08/29/2021,35,KS,0,2902155,4816,0,1617840,2299,Admin,0,4817,0,1352517,2268
08/29/2021,35,NC,36766,10428500,30942,19004,5878330,17216,Report,36766,30942,15498,4843999,12254
08/29/2021,35,OR,0,4959522,6284,0,2683039,3574,Admin,0,6284,0,2436020,2381
08/29/2021,35,TN,623,6260373,18312,258,3430942,9617,Report,623,18312,322,2833047,6761
08/29/2021,35,VI,9,94650,332,0,52580,126,Report,9,332,21,42342,209
08/29/2021,35,NJ,21610,10969246,23156,10241,6012365,11079,Report,21610,23156,9867,5441259,10625
08/29/2021,35,PR,16944,4224421,11425,10774,2341218,7338,Report,16944,11425,5738,2005132,3957
08/29/2021,35,MI,17918,10167391,14514,7798,5380459,6426,Report,17918,14514,8114,5034646,6505
08/29/2021,35,MD,0,7579595,10755,0,4089244,5049,Admin,0,10756,0,3695130,4728
08/29/2021,35,MP,0,66514,141,0,34833,50,Admin,0,141,0,32224,81
08/29/2021,35,NM,8798,2635135,6954,4599,1445166,3506,Report,8798,6954,3165,1255176,2801
08/29/2021,35,FL,0,24748548,51338,0,13832479,21257,Admin,0,51338,0,11432623,24308
08/29/2021,35,LTC,1032,7931034,1084,813,4690962,810,Report,1032,1084,0,0,0
08/29/2021,35,MO,12203,5934827,16540,4820,3271702,6896,Report,12203,16540,6548,2759476,8466
08/29/2021,35,CA,130757,47870018,100928,63717,27156250,49856,Report,130757,100928,57650,22007910,43683
08/29/2021,35,MS,695,2447362,9581,428,1375316,4975,Report,695,9581,404,1122793,4019
08/29/2021,35,MO,0,5934827,11200,0,3271702,4685,Admin,0,11200,0,2803949,5768
08/29/2021,35,AL,24575,4097445,25900,11783,2369063,11767,Report,24575,25900,10414,1860445,11265
08/29/2021,35,RI,0,1389773,1494,0,749962,742,Admin,0,1494,0,681981,643
08/29/2021,35,CO,0,6801408,9327,0,3661176,3901,Admin,0,9328,0,3284302,4039
08/29/2021,35,TX,97747,30027551,102787,40953,16912508,48404,Report,97747,102787,45968,13686139,44492
08/29/2021,35,IN,15299,6398557,12865,8302,3387070,6754,Report,15299,12865,6079,3107387,5260
08/29/2021,35,VA,0,10199882,12418,0,5550454,6002,Admin,0,12418,0,4868835,5364
08/29/2021,35,AR,0,2784921,6993,0,1601474,2682,Admin,0,6994,0,1244504,3912
08/29/2021,35,WV,0,1512950,992,0,840270,432,Admin,0,992,0,705270,236
08/29/2021,35,MT,0,1019130,1131,0,558577,619,Admin,0,1131,0,490880,431
08/29/2021,35,ND,2179,697162,1505,1147,384859,824,Report,2179,1505,809,317412,541
08/29/2021,35,LA,23206,4194490,19875,8751,2346898,8303,Report,23206,19875,13007,1926000,10430
08/29/2021,35,NC,0,10428500,19730,0,5878330,10916,Admin,0,19731,0,4892252,8213
08/29/2021,35,MA,10968,9448906,11616,4876,5176031,5563,Report,10968,11616,4746,4535474,5059
08/29/2021,35,SC,20221,4784703,15228,10744,2661154,7955,Report,20221,15228,7810,2219966,6057
08/29/2021,35,KY,0,4534547,9555,0,2524083,5311,Admin,0,9556,0,2154347,3710
08/29/2021,35,WA,0,9469153,13019,0,5150079,7510,Admin,0,13019,0,4573049,4748
08/29/2021,35,DE,2570,1148553,2605,1243,637055,1232,Report,2570,2605,1107,537021,1148
08/29/2021,35,VA,30022,10199882,18072,13375,5550454,8890,Report,30022,18072,12848,4868886,8916
08/29/2021,35,NV,10019,3191664,8435,4761,1801454,4005,Report,10019,8435,5060,1465862,4139
08/29/2021,35,RP,0,28757,67,0,16416,46,Admin,0,68,0,14579,22
08/29/2021,35,ME,0,1734711,1572,0,953915,928,Admin,0,1573,0,876444,582
08/29/2021,35,TX,1,30027666,67388,0,16912623,30083,Admin,1,67388,1,14049675,30064
08/29/2021,35,US,951864,368863734,886566,443960,204435968,430026,Report,951864,886566,418919,173520211,385512
08/29/2021,35,RI,2594,1389773,2368,1287,749962,1139,Report,2594,2368,1074,684030,1254
08/29/2021,35,NY,0,24284397,38097,0,13093973,20100,Admin,0,38098,0,11691282,17547
08/29/2021,35,AL,0,4097445,13144,0,2369063,6417,Admin,0,13145,0,1817219,5740
08/29/2021,35,NY,52987,24284397,49580,26434,13093973,25790,Report,52987,49580,25545,11655348,22471
08/29/2021,35,LA,1,4194490,14183,0,2346898,5712,Admin,1,14183,1,1962600,7593
