table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,
,2010_Cen_Pop,2019_Est_Pop
".Adams County, Illinois","67,103","65,435"
".Alexander County, Illinois","8,238","5,761"
".Bond County, Illinois","17,768","16,426"
".Boone County, Illinois","54,165","53,544"
".Brown County, Illinois","6,937","6,578"
".Bureau County, Illinois","34,978","32,628"
".Calhoun County, Illinois","5,089","4,739"
".Carroll County, Illinois","15,387","14,305"
".Cass County, Illinois","13,642","12,147"
".Champaign County, Illinois","201,081","209,689"
".Christian County, Illinois","34,800","32,304"
".Clark County, Illinois","16,335","15,441"
".Clay County, Illinois","13,815","13,184"
".Clinton County, Illinois","37,762","37,562"
".Coles County, Illinois","53,873","50,621"
".Cook County, Illinois","5,194,675","5,150,233"
".Crawford County, Illinois","19,817","18,667"
".Cumberland County, Illinois","11,048","10,766"
".DeKalb County, Illinois","105,160","104,897"
".De Witt County, Illinois","16,561","15,638"
".Douglas County, Illinois","19,980","19,465"
".DuPage County, Illinois","916,924","922,921"
".Edgar County, Illinois","18,576","17,161"
".Edwards County, Illinois","6,721","6,395"
".Effingham County, Illinois","34,242","34,008"
".Fayette County, Illinois","22,140","21,336"
".Ford County, Illinois","14,081","12,961"
".Franklin County, Illinois","39,561","38,469"
".Fulton County, Illinois","37,069","34,340"
".Gallatin County, Illinois","5,589","4,828"
".Greene County, Illinois","13,886","12,969"
".Grundy County, Illinois","50,063","51,054"
".Hamilton County, Illinois","8,457","8,116"
".Hancock County, Illinois","19,104","17,708"
".Hardin County, Illinois","4,320","3,821"
".Henderson County, Illinois","7,331","6,646"
".Henry County, Illinois","50,486","48,913"
".Iroquois County, Illinois","29,718","27,114"
".Jackson County, Illinois","60,218","56,750"
".Jasper County, Illinois","9,698","9,610"
".Jefferson County, Illinois","38,827","37,684"
".Jersey County, Illinois","22,985","21,773"
".Jo Daviess County, Illinois","22,678","21,235"
".Johnson County, Illinois","12,582","12,417"
".Kane County, Illinois","515,269","532,403"
".Kankakee County, Illinois","113,449","109,862"
".Kendall County, Illinois","114,736","128,990"
".Knox County, Illinois","52,919","49,699"
".Lake County, Illinois","703,462","696,535"
".LaSalle County, Illinois","113,924","108,669"
".Lawrence County, Illinois","16,833","15,678"
".Lee County, Illinois","36,031","34,096"
".Livingston County, Illinois","38,950","35,648"
".Logan County, Illinois","30,305","28,618"
".McDonough County, Illinois","32,612","29,682"
".McHenry County, Illinois","308,760","307,774"
".McLean County, Illinois","169,572","171,517"
".Macon County, Illinois","110,768","104,009"
".Macoupin County, Illinois","47,765","44,926"
".Madison County, Illinois","269,282","262,966"
".Marion County, Illinois","39,437","37,205"
".Marshall County, Illinois","12,640","11,438"
".Mason County, Illinois","14,666","13,359"
".Massac County, Illinois","15,429","13,772"
".Menard County, Illinois","12,705","12,196"
".Mercer County, Illinois","16,434","15,437"
".Monroe County, Illinois","32,957","34,637"
".Montgomery County, Illinois","30,104","28,414"
".Morgan County, Illinois","35,547","33,658"
".Moultrie County, Illinois","14,846","14,501"
".Ogle County, Illinois","53,497","50,643"
".Peoria County, Illinois","186,494","179,179"
".Perry County, Illinois","22,350","20,916"
".Piatt County, Illinois","16,729","16,344"
".Pike County, Illinois","16,430","15,561"
".Pope County, Illinois","4,470","4,177"
".Pulaski County, Illinois","6,161","5,335"
".Putnam County, Illinois","6,006","5,739"
".Randolph County, Illinois","33,476","31,782"
".Richland County, Illinois","16,233","15,513"
".Rock Island County, Illinois","147,546","141,879"
".St. Clair County, Illinois","270,056","259,686"
".Saline County, Illinois","24,913","23,491"
".Sangamon County, Illinois","197,465","194,672"
".Schuyler County, Illinois","7,544","6,768"
".Scott County, Illinois","5,355","4,951"
".Shelby County, Illinois","22,363","21,634"
".Stark County, Illinois","5,994","5,342"
".Stephenson County, Illinois","47,711","44,498"
".Tazewell County, Illinois","135,394","131,803"
".Union County, Illinois","17,808","16,653"
".Vermilion County, Illinois","81,625","75,758"
".Wabash County, Illinois","11,947","11,520"
".Warren County, Illinois","17,707","16,844"
".Washington County, Illinois","14,716","13,887"
".Wayne County, Illinois","16,760","16,215"
".White County, Illinois","14,665","13,537"
".Whiteside County, Illinois","58,498","55,175"
".Will County, Illinois","677,560","690,743"
".Williamson County, Illinois","66,357","66,597"
".Winnebago County, Illinois","295,266","282,572"
".Woodford County, Illinois","38,664","38,459"
