ZIP Code,One Dose Administered,Persons Fully Vaccinated
60002,"12,529 (52.06%)","11,684 (48.55%)"
60004,"37,891 (74.42%)","36,293 (71.28%)"
60005,"21,209 (71.8%)","20,243 (68.53%)"
60007,"23,480 (70.26%)","22,501 (67.33%)"
60008,"15,823 (72.47%)","15,097 (69.15%)"
60010,"32,702 (70.96%)","31,029 (67.33%)"
60012,"7,418 (67.69%)","7,014 (64.01%)"
60013,"17,083 (66.14%)","16,289 (63.07%)"
60014,"31,052 (64.1%)","29,366 (60.62%)"
60015,"20,702 (75.41%)","19,431 (70.78%)"
60016,"42,408 (71.11%)","40,370 (67.69%)"
60018,"20,630 (67.89%)","19,441 (63.98%)"
60020,"5,921 (60.25%)","5,518 (56.15%)"
60021,"3,556 (64.1%)","3,385 (61.01%)"
60022,"6,579 (77.61%)","6,066 (71.56%)"
60025,"30,419 (74.17%)","28,802 (70.22%)"
60026,"10,863 (76.94%)","10,200 (72.25%)"
60029,390 (69.64%),359 (64.11%)
60030,"24,016 (65.23%)","22,712 (61.69%)"
60031,"24,303 (65.38%)","22,763 (61.24%)"
60033,"6,674 (48.78%)","6,087 (44.49%)"
60034,880 (42.37%),828 (39.87%)
60035,"23,648 (79.53%)","21,868 (73.55%)"
60040,"3,877 (72.25%)","3,629 (67.63%)"
60041,"4,970 (55.86%)","4,667 (52.46%)"
60042,"5,084 (60.38%)","4,829 (57.35%)"
60043,"1,873 (74.56%)","1,705 (67.87%)"
60044,"7,139 (71.37%)","6,599 (65.97%)"
60045,"15,097 (71.44%)","13,721 (64.93%)"
60046,"20,685 (58.62%)","19,452 (55.13%)"
60047,"30,497 (71.53%)","28,906 (67.8%)"
60048,"20,817 (71.64%)","19,485 (67.06%)"
60050,"18,357 (56.08%)","17,211 (52.58%)"
60051,"13,561 (58.21%)","12,719 (54.59%)"
60053,"18,436 (79.27%)","17,561 (75.51%)"
60056,"38,585 (69.84%)","36,832 (66.66%)"
60060,"25,497 (68.53%)","23,925 (64.3%)"
60061,"19,986 (74.01%)","18,951 (70.18%)"
60062,"33,601 (83.05%)","31,376 (77.55%)"
60064,"7,527 (47.93%)","6,707 (42.71%)"
60067,"29,132 (76.31%)","27,948 (73.21%)"
60068,"28,140 (74.57%)","26,913 (71.32%)"
60069,"6,791 (82.96%)","6,310 (77.08%)"
60070,"10,499 (65.42%)","9,976 (62.16%)"
60071,"1,898 (53%)","1,780 (49.71%)"
60072,526 (51.52%),485 (47.5%)
60073,"36,609 (59.33%)","33,925 (54.98%)"
60074,"25,149 (63.7%)","23,879 (60.49%)"
60076,"26,252 (82.38%)","24,654 (77.37%)"
60077,"20,642 (72.87%)","19,318 (68.19%)"
60081,"4,892 (50.64%)","4,586 (47.47%)"
60083,"5,450 (54.55%)","5,036 (50.41%)"
60084,"10,629 (63.98%)","10,138 (61.03%)"
60085,"40,845 (57.65%)","37,066 (52.32%)"
60087,"15,825 (59.32%)","14,489 (54.31%)"
60088,773 (6.1%),648 (5.12%)
60089,"31,766 (76.74%)","30,258 (73.1%)"
60090,"26,529 (68.95%)","25,085 (65.2%)"
60091,"21,323 (77.92%)","20,139 (73.59%)"
60093,"15,058 (77.45%)","13,830 (71.14%)"
60096,"2,737 (40.23%)","2,480 (36.45%)"
60097,"5,453 (50.37%)","5,119 (47.28%)"
60098,"20,376 (62.65%)","18,979 (58.35%)"
60099,"14,545 (47.02%)","13,123 (42.42%)"
60101,"24,139 (61.55%)","22,603 (57.64%)"
60102,"20,548 (62.76%)","19,596 (59.86%)"
60103,"29,122 (69.02%)","27,769 (65.81%)"
60104,"11,511 (60.59%)","10,574 (55.66%)"
60106,"13,081 (63.93%)","11,901 (58.16%)"
60107,"26,656 (65.92%)","25,260 (62.47%)"
60108,"15,957 (70.09%)","15,121 (66.42%)"
60109,314 (55.28%),299 (52.64%)
60110,"23,161 (58.88%)","21,357 (54.3%)"
60111,146 (97.33%),137 (91.33%)
60112,"2,520 (57.85%)","2,385 (54.75%)"
60113,250 (73.75%),232 (68.44%)
60115,"21,946 (48.42%)","20,640 (45.54%)"
60118,"10,823 (68.34%)","10,292 (64.99%)"
60119,"6,934 (67.68%)","6,610 (64.51%)"
60120,"31,795 (62.44%)","29,453 (57.84%)"
60123,"30,725 (62.77%)","28,500 (58.22%)"
60124,"16,294 (72.94%)","15,507 (69.42%)"
60126,"33,446 (69.09%)","31,998 (66.1%)"
60129,110 (42.31%),106 (40.77%)
60130,"9,537 (67.92%)","9,037 (64.36%)"
60131,"11,840 (65.69%)","11,044 (61.27%)"
60133,"25,263 (65.79%)","23,606 (61.47%)"
60134,"21,638 (73.6%)","20,684 (70.35%)"
60135,"4,053 (58.69%)","3,859 (55.88%)"
60136,"5,121 (66.15%)","4,894 (63.21%)"
60137,"27,323 (71.38%)","26,111 (68.21%)"
60139,"22,026 (64.1%)","20,660 (60.12%)"
60140,"12,315 (69.82%)","11,572 (65.6%)"
60141,399 (100%),357 (100%)
60142,"20,636 (73.38%)","19,622 (69.78%)"
60143,"7,110 (64.66%)","6,747 (61.36%)"
60144,98 (100%),97 (100%)
60145,"1,163 (43.51%)","1,104 (41.3%)"
60146,"1,152 (43.39%)","1,090 (41.05%)"
60148,"35,939 (67.86%)","34,328 (64.82%)"
60150,864 (51.06%),808 (47.75%)
60151,"2,266 (56.31%)","2,164 (53.78%)"
60152,"6,599 (53.45%)","6,216 (50.35%)"
60153,"12,978 (54.51%)","11,740 (49.31%)"
60154,"12,241 (73.86%)","11,661 (70.36%)"
60155,"4,934 (63.02%)","4,603 (58.79%)"
60156,"17,735 (61.4%)","16,831 (58.27%)"
60157,"1,438 (57.47%)","1,378 (55.08%)"
60160,"15,810 (62.21%)","14,528 (57.17%)"
