Submission Date,State,Total Cases,Total Deaths,,,,,
10/27/2021,ME,103036,1160,,,,,
10/27/2021,MI,1265381,23526,,,,,
10/27/2021,WA,719500,8554,,,,,
10/27/2021,DE,142969,2069,,,,,
10/27/2021,MS,503666,10059,,,,,
10/27/2021,AL,830789,15484,,,,,
10/27/2021,VI,7172,81,,,,,
10/27/2021,MO,851860,12043,,,,,
10/27/2021,WI,877220,9370,,,,,
10/27/2021,IN,1014652,16646,,,,,
10/27/2021,CT,401716,8752,,,,,
10/27/2021,MN,781548,8736,,,,,
10/27/2021,NJ,1193201,27929,,,,,
10/27/2021,LA,757739,14506,,,,,
10/27/2021,VA,923125,13870,,,,,
10/27/2021,AZ,1156731,21044,,,,,
10/27/2021,KY,739863,9685,,,,,
10/27/2021,GA,1631348,28850,,,,,
10/27/2021,PW,10,0,,,,,
10/27/2021,HI,81051,884,,,,,
10/27/2021,PR,184444,3228,,,,,
10/27/2021,NYC,1119298,34554,,,,,
10/27/2021,FL,3645212,59495,,,,,
10/27/2021,AK,131056,690,,,,,
10/27/2021,UT,546213,3181,,,,,
10/27/2021,AS,4,0,,,,,
10/27/2021,MA,848947,18970,,,,,
10/27/2021,TX,4207272,69485,,,,,
10/27/2021,WV,269131,4346,,,,,
10/27/2021,OK,642362,10732,,,,,
10/27/2021,OH,1531815,24164,,,,,
10/27/2021,SD,153774,2231,,,,,
10/27/2021,NM,272855,5027,,,,,
10/27/2021,IA,483736,6965,,,,,
10/27/2021,PA,1548641,31197,,,,,
10/27/2021,CO,733343,8131,,,,,
10/27/2021,MP,291,3,,,,,
10/27/2021,KS,432730,6345,,,,,
10/27/2021,AR,511467,8325,,,,,
10/27/2021,NY,1425129,21656,,,,,
10/27/2021,TN,1277517,16294,,,,,
10/27/2021,RMI,4,0,,,,,
10/27/2021,ND,147053,1751,,,,,
10/27/2021,NE,283153,2954,,,,,
10/27/2021,NC,1472655,17935,,,,,
10/27/2021,NH,132441,1544,,,,,
10/27/2021,GU,18040,235,,,,,
10/27/2021,IL,1690274,28550,,,,,
10/27/2021,VT,36348,342,,,,,
10/27/2021,ID,288923,3501,,,,,
10/27/2021,MD,558852,10854,,,,,
10/27/2021,NV,448636,7600,,,,,
10/27/2021,MT,174087,2321,,,,,
10/27/2021,CA,4884524,71407,,,,,
10/27/2021,RI,178907,2877,,,,,
10/27/2021,FSM,7,0,,,,,
10/27/2021,WY,101912,1174,,,,,
10/27/2021,SC,894924,13641,,,,,
10/27/2021,OR,362561,4334,,,,,
10/27/2021,DC,63990,1187,,,,,
