State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
United States,504584715,151985,195379,415012026,125005,387144971,149905,220648845,66.5,205482061,79.6,190793100,57.5,178227720,69,283387965,196762200,24415200,19350,15457247,155267673,243856565,430541,69910818,105560314,15205141,116827,69830921,93105121,15177404,114274,175770098,66.5,205482061,79.6,52.9,163231549,63.2,220648845,52777199,96.5,46345117,84.7,26213750,27935710,3268612,50954,107232280,196049,922516,220414318,77.7,190659830,67.2,69907300,105433770,15202012,116748,414644698,146236,177955,13753793,7.2,13729154,7.7,11316921,12,8483715,18.3,2283132,11442986,21730,5945
Alaska,1134615,155098,205709,857746,117251,796686,144442,432116,59.1,399620,72.5,383246,52.4,355667,64.5,615135,446480,73000,0,36053,326205,494906,582,144661,204809,33704,72,144271,177762,33567,67,349864,59.1,399620,72.5,47.8,322419,58.5,432116,80826,88.2,75118,82,41558,30520,3225,29,170867,186560,1238830,430761,70.7,382374,62.8,144657,203943,33702,72,855498,140504,186346,43704,11.4,43532,12.2,30920,18.4,18598,24.8,N/A,N/A,N/A,N/A
Alabama,7069650,144185,185318,4779470,97477,4532846,118820,2653566,54.1,2513164,65.9,2179242,44.4,2072805,54.3,3608550,3141900,319200,0,141441,2067258,2570620,151,927741,1107492,143564,445,927306,1001574,143481,444,2037832,54.1,2513164,65.9,41.6,1931475,50.6,2653566,747852,88,648652,76.3,343249,272104,34815,292,1444568,169982,831883,2653157,63.4,2179156,52,927730,1107426,143555,445,4779016,114143,168852,157914,7.2,157576,7.6,133253,10.7,100141,15.4,N/A,N/A,N/A,N/A
Arkansas,4326450,143364,186674,3191594,105759,2975568,128387,1739449,57.6,1618420,69.8,1439158,47.7,1343479,58,2241090,1881160,204200,0,101238,1340931,1746398,3027,607615,730404,100391,748,606523,636362,99875,719,1339890,57.6,1618420,69.8,44.4,1244696,53.7,1739449,459900,87.8,393714,75.2,224192,161334,15353,420,903517,172466,825844,1735594,67.9,1437645,56.2,607604,729023,100272,746,3186297,124599,169184,112508,7.8,112304,8.4,89209,11.8,65889,16.7,N/A,N/A,N/A,N/A
American Samoa,70650,126865,162882,65566,117736,54269,125116,35220,63.2,29195,67.3,30902,55.5,25666,59.2,49350,20700,600,0,546,17963,47056,1,8317,22030,555,0,8301,16811,554,0,30349,63.2,29195,67.3,54.5,25114,57.9,35220,2905,30.8,2651,28.1,1121,1505,25,0,5461,57874,748728,35209,74,30895,65,8316,22024,555,0,65548,137830,148559,22,0.1,18,0.1,10,0.1,1,0,N/A,N/A,N/A,N/A
Arizona,10512540,144428,186443,8674092,119171,8083683,143366,4432717,60.9,4117011,73,3840813,52.8,3579808,63.5,5840700,4191440,480400,0,298564,3419440,4940319,15769,1480510,2066748,288942,4613,1479910,1806817,288523,4558,3555186,60.9,4117011,73,48.8,3294587,58.4,4432717,1184034,90.5,1041708,79.6,504730,491022,46925,2476,2541028,194174,803322,4431716,71.4,3840422,61.9,1480485,2066622,288703,4612,8672934,139749,169392,283768,7.4,282972,7.9,236986,12.2,183076,17.6,N/A,N/A,N/A,N/A
Bureau of Prisons,263930,N/A,N/A,237382,N/A,237380,N/A,126567,N/A,126565,N/A,120264,N/A,120263,N/A,139230,111500,13200,0,11986,95622,129744,30,45709,62602,11953,0,45709,62602,11952,0,108374,N/A,126565,N/A,0,108374,0,126567,3563,0,3514,0,1688,1654,172,0,7048,0,0,126565,0,120263,0,45709,62602,11952,0,237380,0,0,2099,1.7,2099,1.7,752,2.7,134,3.8,N/A,N/A,N/A,N/A
California,61579135,155848,201123,53371159,135075,49253168,160866,29261675,74.1,26985750,88.1,24063070,60.9,22218123,72.6,35368155,23264580,2946400,0,1915383,19823821,31617459,14496,8693569,13462181,1903159,4161,8668086,11650556,1895602,3879,22189754,74.1,26985750,88.1,56.2,20352269,66.5,29261675,5986103,99.9,4807895,82.4,2410295,2223207,191029,1296,11627325,199162,1054780,29180200,86.7,24014038,71.4,8693137,13413954,1902795,4152,53240414,158236,183019,1629618,6.8,1627054,7.3,1267332,12.1,919782,19.1,N/A,N/A,N/A,N/A
Colorado,8770825,152305,194941,7592935,131851,7053224,156766,3874332,67.3,3588679,79.8,3528824,61.3,3275992,72.8,4998225,3382700,389900,0,279237,2909182,4398911,5605,1327722,1924854,274639,1609,1324056,1676944,273438,1554,3261002,67.3,3588679,79.8,56.6,3009315,66.9,3874332,784589,93.1,722996,85.8,346638,354176,25342,576,1724940,204762,1041160,3862427,78.2,3520676,71.3,1327701,1916753,274614,1608,7572707,153416,177689,338247,9.6,337610,10.3,262232,17.2,202626,28,N/A,N/A,N/A,N/A
Connecticut,6007045,168487,211676,5318629,149178,4921668,173430,2797226,78.5,2586433,91.1,2511376,70.4,2329486,82.1,3351945,2373800,281300,0,210128,1905369,3201746,1386,890905,1410694,209362,415,890485,1229504,209184,313,2304131,78.5,2586433,91.1,64.6,2122405,74.8,2797226,653250,99.9,586998,93.1,231197,335980,20910,88,1378448,218717,953130,2795848,90,2510873,80.8,890674,1410507,209281,411,5316828,171182,193405,190625,7.6,190426,8.2,171822,13.7,141585,24.1,N/A,N/A,N/A,N/A
