zip,city,county,pop
60002,Antioch,Lake,24058
60004,Arlington Heights,Cook,50639
60005,Arlington Heights,Cook,30079
60007,Elk Grove Village,Cook,33161
60008,Rolling Meadows,Cook,21663
60010,Barrington,Lake,46455
60012,Crystal Lake,Mchenry,10647
60013,Cary,Mchenry,26454
60014,Crystal Lake,Mchenry,48063
60015,Deerfield,Lake,27529
60016,Des Plaines,Cook,59291
60018,Des Plaines,Cook,30037
60020,Fox Lake,Lake,10422
60021,Fox River Grove,Mchenry,5276
60022,Glencoe,Cook,8471
60025,Glenview,Cook,40935
60026,Glenview Nas,Cook,14021
60029,Golf,Cook,476
60030,Grayslake,Lake,36125
60031,Gurnee,Lake,37545
60033,Harvard,Mchenry,13703
60034,Hebron,Mchenry,2088
60035,Highland Park,Lake,29636
60040,Highwood,Lake,5310
60041,Ingleside,Lake,8659
60042,Island Lake,Lake,8556
60043,Kenilworth,Cook,2460
60044,Lake Bluff,Lake,9990
60045,Lake Forest,Lake,21134
60046,Lake Villa,Lake,34596
60047,Lake Zurich,Lake,42608
60048,Libertyville,Lake,29033
60050,Mchenry,Mchenry,32565
60051,Mchenry,Mchenry,22808
60053,Morton Grove,Cook,23089
60056,Mount Prospect,Cook,54524
60060,Mundelein,Lake,37544
60061,Vernon Hills,Lake,26967
60062,Northbrook,Cook,40686
60064,North Chicago,Lake,15490
60067,Palatine,Cook,37840
60068,Park Ridge,Cook,37433
60069,Lincolnshire,Lake,8225
60070,Prospect Heights,Cook,15908
60071,Richmond,Mchenry,3737
60072,Ringwood,Mchenry,1051
60073,Round Lake,Lake,61592
60074,Palatine,Cook,39217
60076,Skokie,Cook,31788
60077,Skokie,Cook,27626
60081,Spring Grove,Mchenry,9379
60083,Wadsworth,Lake,10094
60084,Wauconda,Lake,16613
60085,Waukegan,Lake,70700
60087,Waukegan,Lake,26429
60088,Great Lakes,Lake,12816
60089,Buffalo Grove,Lake,41014
60090,Wheeling,Cook,38553
60091,Wilmette,Cook,27165
60093,Winnetka,Cook,19409
60096,Winthrop Harbor,Lake,6733
60097,Wonder Lake,Mchenry,10728
60098,Woodstock,Mchenry,32972
60099,Zion,Lake,30145
60101,Addison,Du Page,38856
60102,Algonquin,Mchenry,32663
60103,Bartlett,Cook,41755
60104,Bellwood,Cook,18904
60106,Bensenville,Du Page,20341
60107,Streamwood,Cook,39894
60108,Bloomingdale,Du Page,22494
60109,Burlington,Kane,614
60110,Carpentersville,Kane,38984
60111,Clare,De Kalb,163
60112,Cortland,De Kalb,4422
60113,Creston,Ogle,307
60115,Dekalb,De Kalb,45268
60118,Dundee,Kane,16050
60119,Elburn,Kane,10119
60120,Elgin,Kane,50573
60123,Elgin,Kane,48948
60126,Elmhurst,Du Page,49027
60129,Esmond,De Kalb,286
60130,Forest Park,Cook,13927
60131,Franklin Park,Cook,17834
60133,Hanover Park,Cook,38113
60134,Geneva,Kane,29458
60135,Genoa,De Kalb,7058
60136,Gilberts,Kane,7823
60137,Glen Ellyn,Du Page,37760
60139,Glendale Heights,Du Page,34160
60140,Hampshire,Kane,18568
60141,Hines,Cook,302
60142,Huntley,Mchenry,28647
60143,Itasca,Du Page,11222
60144,Kaneville,Kane,56
60145,Kingston,De Kalb,2756
60146,Kirkland,De Kalb,2390
60148,Lombard,Du Page,52588
60150,Malta,De Kalb,1934
60151,Maple Park,Kane,4075
60152,Marengo,Mchenry,12186
60153,Maywood,Cook,23578
60154,Westchester,Cook,16440
60155,Broadview,Cook,7755
60156,Lake In The Hills,Mchenry,28809
60157,Medinah,Du Page,2970
60160,Melrose Park,Cook,25666
60162,Hillside,Cook,8176
60163,Berkeley,Cook,5103
60164,Melrose Park,Cook,21228
60165,Stone Park,Cook,4894
60171,River Grove,Cook,10076
60172,Roselle,Du Page,24371
60173,Schaumburg,Cook,12610
60174,Saint Charles,Kane,31219
60175,Saint Charles,Kane,26298
60176,Schiller Park,Cook,11621
60177,South Elgin,Kane,23310
60178,Sycamore,De Kalb,22374
60180,Union,Mchenry,1813
60181,Villa Park,Du Page,28755
60184,Wayne,Du Page,2428
60185,West Chicago,Du Page,36100
60187,Wheaton,Du Page,29976
60188,Carol Stream,Du Page,42214
60189,Wheaton,Du Page,29999
60190,Winfield,Du Page,11375
60191,Wood Dale,Du Page,14021
60192,Schaumburg,Cook,15467
60193,Schaumburg,Cook,39646
60194,Schaumburg,Cook,19525
60195,Schaumburg,Cook,5020
60201,Evanston,Cook,41884
60202,Evanston,Cook,32703
60203,Evanston,Cook,4397
60301,Oak Park,Cook,2831
60302,Oak Park,Cook,31620
60304,Oak Park,Cook,17782
60305,River Forest,Cook,10970
60401,Beecher,Will,7990
60402,Berwyn,Cook,62960
60406,Blue Island,Cook,25338
60407,Braceville,Grundy,1597
60408,Braidwood,Will,5528
60409,Calumet City,Cook,36658
60410,Channahon,Will,12965
60411,Chicago Heights,Cook,57603
60415,Chicago Ridge,Cook,14123
60416,Coal City,Grundy,9083
60417,Crete,Will,15073
60419,Dolton,Cook,22436
60420,Dwight,Livingston,4846
60421,Elwood,Will,3810
60422,Flossmoor,Cook,9941
60423,Frankfort,Will,31418
60424,Gardner,Grundy,2326
60425,Glenwood,Cook,8842
60426,Harvey,Cook,28683
60429,Hazel Crest,Cook,15108
60430,Homewood,Cook,19691
60431,Joliet,Will,24202
60432,Joliet,Will,20062
60433,Joliet,Will,16398
60435,Joliet,Will,49390
60436,Joliet,Will,17903
60437,Kinsman,Grundy,164
60438,Lansing,Cook,28633
60439,Lemont,Du Page,23435
60440,Bolingbrook,Will,52273
60441,Lockport,Will,35583
60442,Manhattan,Will,10679
60443,Matteson,Cook,21554
60444,Mazon,Grundy,1861
60445,Midlothian,Cook,25810
60446,Romeoville,Will,40118
60447,Minooka,Grundy,13856
60448,Mokena,Will,26220
60449,Monee,Will,9362
60450,Morris,Grundy,20906
60451,New Lenox,Will,35622
60452,Oak Forest,Cook,28008
60453,Oak Lawn,Cook,55966
